name;toshidexNumber;rarity;evolves;evolutionStage;description;ethCardIndex;type1;type2;maxHP;attack;defense;spAttack;spDefense;speed;knownMoves
Scrit;40;1;0;0;Scrit is a quadrupedal Toshimon that looks like a mixture of a cat and a mouse. It has longer hind legs and a tail that is curled. It also has a brown fur and a big front tooth. Scrit is a defensive Toshimon that always get bullied. Scrit likes to hide in the forest away from the other Toshimons to avoid fights. Even if it has longer hind legs, Scrit is slow and its hind legs are mostly used for jumping to high places. Scrit's curled tail can also punch the enemies on their face and its front teeth, despite being not sharp enough, can still pierce through the skin.;60;1;0;140;70;65;85;50;60;[{'moveBase': {'fileID': 11400000, 'guid': '103b3b819d681014480472f6e0b8de61', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'e1b1cea650414b34a88107c1a27d508f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Cubble;41;1;1;1;Cubble is a cute Toshimon with a teddy bear-like anatomy, having dark brown fur all over its body with bright purple eyes and a heart shaped navel with purple laces forming an â€˜X' in the middle. It has no claws and has tiny stumps on the ends of its limbs which adds to the innocent look. Don't let its cute appearance fool you though, this Toshimon still packs a huge punch despite its baby cub facade. Cubble began its life as a plain and simple teddy bear owned by a little girl living in the woods. This little girl would always have this stuffed animal around with her, even until her unfortunate death. She died in a very tragic house fire, and when she was found, the teddy bear was right beside her, except now it had gained darker fur and eerie glowing purple eyes. Some say that the girl's spirit has now possessed the teddy bear, thus giving birth to a new Toshimon, Cubble. Despite its origin, Cubble's power is not magical. Its main prowess comes from being able to attack with brute force and heavy swings.;61;1;0;70;60;70;60;65;85;[{'moveBase': {'fileID': 11400000, 'guid': '103b3b819d681014480472f6e0b8de61', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '3f5faac8b11a06043880aa93380e0069', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
TerrorBear;42;2;0;2;TerrorBear is the evolved version of Cubble and has grown larger than its predecessor. This Toshimon now has a taller and wider body frame similar to a grizzly bear, now sporting huge claws on both its upper and lower limbs, eyes scarier with the same purple glow to them. The heart on its navel now resembles a broken heart unlike its previous form, Cubble.  TerrorBear evolves from the small and innocent looking Cubble. For Cubble to evolve, it would have to go through very rigorous training from its trainer. TerrorBear also thrives from the anguish and vengeance it feels ever since it was born into the world, thus giving TerrorBear the ability to show off its monstrous display of strength to all that oppose it. Just like Cubble, TerrorBear does not possess any magical power and excels best at physical damage and pure force. Its best asset are its extremely strong upper limbs that swing harder than a construction site wrecking ball. This Toshimon is very dangerous and requires proper training to keep it in check.;148;1;0;80;80;100;90;95;85;[{'moveBase': {'fileID': 11400000, 'guid': '7e54cdc430948f44f99abb3d6b52fee0', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '5aba3bb0941d7344c8abcb419e294066', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Tomo;43;1;1;1;Tomo is a happy and friendly plant caretaker that lives to nourish other plant Toshimons.  It's pink-toned body glows and gives warmth that plants need when the sun is not in the mood to show up, while it's antennae sense danger or Toshimons in bad health. It might look like it but Tomo is not completely harmless. The leaves around its neck are not just a fashionable scarf, they also enable it to fly and tend to others more efficiently. Don't go near it though, they are sharp and can cut anything in its way. No one could miss its enticing eyes that can make you sleep and rest better. Usually, you can find only one of this complete care-package Toshimon in the area depending on how much caring it needs.;62;5;13;95;110;80;80;80;30;[{'moveBase': {'fileID': 11400000, 'guid': '15a36c56339b40a43bcd6e8f228edde0', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '3c5d089033707d94f9ce1bdc60fd7b6a', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Tomotoes;44;2;1;2;Unlike its lower form Tomo, Tomotoes can be found in Toshimon care facilities. This loving Toshimon tends to those that need intensive care. It has undergone training that help understand the anatomy and physiology of the monsters and how they can be healed from any illness or attack. When embraced by Tomotoes, even the deepest wounds heal. Its antennae can sense the health level of the patient while its leaf scarf excretes the needed medication. Tomotoes also train the Tomos before they are sent out to the world. Just like Tomo, they are not completely harmless. When in danger, looking in its eyes can make you do whatever it wants.;149;5;13;75;110;85;115;95;40;[{'moveBase': {'fileID': 11400000, 'guid': '394b9fe3170d546468f4ba0761a1b182', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '1a210953059c5a648aff429da0eec30e', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Tomoqueen;45;4;0;3;There are only a few of majestic Tomoqueens in the land and they only appear in the most critical of times. Legend says that when there was total chaos, most Tomoqueens sacrificed to save as much Toshimons as they could. Aside from the basic and intensive care that Tomo and Tomotoes can give, Tomoqueen can try and bring back a Toshimon that had just lost its life. This is not easy as a Tomoqueen must give a part of itself a.k.a one of the leaves around its neck. The leaf is placed on the Toshimon's chest until absorbed and will be cared by Tomotoes until fully recovered. This is a good news only that as leaves are given out, Tomoqueen weakens.;297;5;13;95;110;115;125;110;50;[{'moveBase': {'fileID': 11400000, 'guid': '66ffd8d801fc8e647979fdc1b1bc008d', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '323747166c006c2468df808462b3a17f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '68f530ebb0d202448bde4b5124ef0edb', 'type': 2}}]
Daffofrill;46;1;1;1;Daffofrill does not have much going on for its appearance other than the fact that it looks like a normal flower. It has limbs that give it the ability to move and adapt to its different surroundings. The petals on its head are a bright pastel yellow and the limbs are a nice and healthy looking green. Daffofrill was found in the early days when Toshimon were beginning to emerge once again in civilization. It is said that a florist had accidentally mistaken Daffofrill for a common flower, which alarmed the Toshimon. The creature had then released a non-lethal powder that had left the florist drowsy. Soon enough the florist had fallen asleep, allowing Daffofrill to escape and find itself a different home. When the florist had awoken, she was unsure whether she had dreamed of a plain flower attacking her from no where. Daffofrill is a very passive fighter. Its main strength is the incredibly effective powder that it releases when it feels danger. In a pinch, it uses strobe to blind its predator to give it an opening to escape.;63;4;5;70;95;80;60;80;30;[{'moveBase': {'fileID': 11400000, 'guid': '64fd7f6b353d405489d3741261e06f1f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d8c2912b1c755c4c9183553cede8e21', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Dandelight;47;2;0;2;From its very plain looking predecessor comes a livelier looking flower. Dandelight possesses four limbs and a head, all of which are physically detached from its body but kept in place due to the electromagnetic current within its system keeping the body parts intact. It has a bright white pair of eyes and a normal smile. The petals on its head have electricity flowing within them, best not to touch them in that case. Dandelight was first found in a power plant situated within a vast green meadow surrounded by flowers. The person that had seen Dandelight spotted the Toshimon feeding off of the electrical power the power plant had been producing. When the Dandelight had noticed the mysterious person's presence, it had emitted a bright light, blinding the human. When they had regained their vision, the mysterious flower-like creature had disappeared. Soon enough, Dandelight had become a staple in electricity production, aiding in maintaining proper electric current flow. Just like Daffofrill, Dandelight does not engage in head on fights, however it can prove to be a tricky opponent to face. The sleepy time powder it emits can leave targets asleep within seconds, paired up with its incredibly powerful electrocuting capabilities. As always, never underestimate a Toshimon based on its appearance.;150;4;5;85;105;95;85;90;60;[{'moveBase': {'fileID': 11400000, 'guid': 'd2bbc2fa501981447bfe7a7c4c46dd21', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d8c2912b1c755c4c9183553cede8e21', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Ringu;48;1;1;1;Ringu is a very odd looking Toshimon, it possesses two wings and it doesn't really have a solid body to rely on other than the ring of diamonds it keeps around its three yellow eyes. The diamonds around the eyeballs are what give Ringu its light power. Desert researchers were once uncovering old Toshimon ruins that date nearly hundreds of years ago. Within these ruins, researchers were uncovering ancient civilizations that existed before and how Toshimon were integrated into their daily lives. While exploring, they came across a flock of odd looking creatures. The next thing these people knew, a blinding light emerged that surrounded all of them. When they regained consciousness, they found themselves outside of the ruins. After much searching and deliberation of what the strange creature was, old textbooks say that they encountered the ancient pokemon Ringu. It is said that they protect the ruins from intruders or any unfamiliar entities that enter the ruins. Ringu's main source of power comes from the diamonds around the yellow belts that protect its eyes. Researchers are still unsure of how they channel power from these diamonds, however it is said that they have the ability to displace anyone.;64;4;0;60;55;50;80;65;100;[{'moveBase': {'fileID': 11400000, 'guid': '057802e6f1a296642b5bc6c47f613053', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '48e7072ace8583a4f9565062ec772360', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Ringu Wingu;49;2;0;2;Ringu Wingu is the evolved form of Ringu and unlike its pre-evolved state, Ringu Wingu is a bird-like Toshimon with dark raven feathers covering its body, halos surrounding its ankles. It retains its belts from its predecessor along with three eyes on either side of its head. Long ago, Ringu Wingu is said to have been one of the Toshimon that helped lead old civilizations.This ancient being allegedly has the ability to predict the future thanks to the diamonds around the belts above its head. Fortune Tellers would often keep this creature around and offer people a reading of their future. When thugs would think of committing crime, Ringu Wingu would not be too far behind, striking the criminals with a lethal poison emitting from its sharp talons. Ringu Wingu's light power has seemingly increased from when it was a mere Ringu, now with poisonous talons that emit a very dangerous poison that would render anyone struck by them weak. Unlike before however, Ringu Wingu is able to predict the future and warn people of when disasters are about to strike.;151;4;8;80;75;70;100;85;100;[{'moveBase': {'fileID': 11400000, 'guid': 'd2bbc2fa501981447bfe7a7c4c46dd21', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '3dfc66c7b339edd47a761a5cb1a7abb2', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Loch;50;1;1;1;Loch has four seal-like flippers and a hard shell back along with a short thick tail and a skull for a face with empty, hollow eye sockets. The short horns on its head are extremely sensitive however since they are used for echo-location and sensing its surroundings since it lacks eyesight. Loch used to be a fossil retrieved from ancient burial grounds from a ruin that researchers were once exploring. It was stated in the reports that multiple small fossils (similar to the one Loch was restored from) surrounded a larger scale fossil. Scientists are still in the process of restoring the large remains, leading them to believe that it could have been what gave birth to the multiple Loch fossils they found. Loch is able to manipulate the earth around it to create sinkholes and impair its opponents movement. Other than that, its very immobile on normal soil, however it excels at moving through sand, drifting at speeds faster than a cheetah running.;65;9;0;50;55;50;70;90;95;[{'moveBase': {'fileID': 11400000, 'guid': 'c3b9b56bdfa33ec4d916dbd42fdf3dc6', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'e028badd4e3f3bd4f8155ae2e0ccb104', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Lochess;51;2;1;2;Lochess' body is relatively large, almost as big as a boat. Just like its predecessor Loch, this Toshimon has 4 flippers with sturdy rock hard protectors behind them to help make it easier for sand surfing. The rocky shell on its back has grown sturdier, gaining more stone plates. The horns on its head have grown larger, similar to a bull and the skull on its head has also grown larger. The short and thick tail has now become more slender and has a spikey ball at the end for a more flexible range of attack. Lochess is considered as one of the oldest Toshimon that has existed to date, going back to over hundreds of years ago. The only Lochess to have been reported to be seen today can be found in the Toshimon Central Research Laboratory after the Loch they have been taking care of evolved into the creature it is today. It is said that this majestic beast is what the huge fossil researchers uncovered found during the discovery of the Loch fossils. This Toshimon is said to be docile by nature but dangerous when provoked due to its large size and anatomy.Lochess' power comes from a mix of both being able to manipulate the earth around it and its incredible physical power. When provoked, it uses the spike ball on its tail to swing at its foe. As a last resort, it has the ability to break the soil under it and create a huge fissure to trap its opponent.;152;9;0;80;80;77;63;90;120;[{'moveBase': {'fileID': 11400000, 'guid': 'c3b9b56bdfa33ec4d916dbd42fdf3dc6', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'ba0e0c2cc9f704d45aafc9cd0b0fc02f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Shoople;52;1;1;1;Shoople is a happy-go-lucky Toshimon that skips all day around the field. Its fluffy body and bubbly personality are a sight to see if you want to relax. This Toshimon can usually be found in green fields and is an indicator that there is no danger around. In the rare instance that danger is near, its cute horns blink until it is in safe distance. At night, Shooples stay together and take turns guarding the flock in warm places. Since their wool is flame-resistant, they like to tease fire Toshimons when they encounter them and would just skip their way out of the scene when the situation worsens.;66;1;0;80;90;70;80;80;90;[{'moveBase': {'fileID': 11400000, 'guid': '103b3b819d681014480472f6e0b8de61', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'edf00f8ed4d32164c9297634047ee91e', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '330ccac694549e64d8f8461fad1eb745', 'type': 2}}]
Rample;53;3;0;2;"If you're sad and lonely, Rample is the Toshimon to be with. It is the resident ""professional cuddler"". During its younger days, it would just go around skipping all day. Now, it wants to bring comfort to Toshimons who are stressed and distressed. Rample would hug you until your worries drift away. If you're lucky it would let you ride on its back while being secured by its majestic long horns while skipping around the field with other Shooples. Rample might be a hugger but if you cross with it, it sure will kick the heck out of you, so don't trip.";272;1;0;95;95;95;95;95;105;[{'moveBase': {'fileID': 11400000, 'guid': '87e7a9f69fcd440478dab9ded463858a', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'e1abcd8031d03574f92176a54e30a2a3', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Dee;54;1;1;1;"Dee is a purple feline Toshimon, its head has tufted fur on its cheeks, oval markings above its eyes, and pointed droplet-like whiskers below its striking cat eye. It has a diminutive black nose on its creamy muzzle. Its neck, shoulders, back, and hind paws are white-colored. Dee is quadrupedal but it can stand and walk on its hind legs as well. It has a fur coat like covering on its neck that makes its physique much fluffier and softer! Dee was adopted by a pirate; it was found while the crew was traveling along the Island of the Seven Sea. Because Dee was raised by a pirate, it learned how to steal and trick people. Dee is mischievous and likes to steal from people. Dee feels amusement from the frustration of those it steals from. It will put on a cute act to get its victims to let their guard down. However, it is often forgiven even if it is caught stealing due to its charm. When angered, it fights back with its claws.";67;13;0;80;72;68;85;62;88;[{'moveBase': {'fileID': 11400000, 'guid': '7448008de1be28d47bc80fa854c82eb2', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'c8097ee5fde24314c8270b8b85d6b8c0', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '68f530ebb0d202448bde4b5124ef0edb', 'type': 2}}]
Deeva;55;3;0;2;Deeva is a cold hearted Toshimon with a body made from steel. It has piercing eyes that will make you into her charm. Its long legs and puffy tail are the main attraction in its figure. Deeva has a lover named Vedo, whom it loved the most. However, Vedo did not reciprocate Deeva's feelings and only used it and dumped Deeva when Vedo's done toying with it. Deeva was devastated and sad that its heart turned cold then later its whole body became steel. Deeva vowed to never love another Toshimon again, and told despises every man ever in its entire life. Deeva lives up to its name because Deeva is a Diva, a center of attraction. With Deeva's warm embrace, every Toshimon will fall head over heels and will be cast under Deeva's spell. Every Toshimon that will be under its spell will become its slave that will follow all Deeva's demands without hesitation. Also, Deeva has a special love potion that could kill the slaves instantly.;273;13;0;90;92;88;105;80;95;[{'moveBase': {'fileID': 11400000, 'guid': '394b9fe3170d546468f4ba0761a1b182', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '323747166c006c2468df808462b3a17f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '7448008de1be28d47bc80fa854c82eb2', 'type': 2}}]
Thinlax;56;1;1;1;"Thinlax is an anthropomorphic Toshimon with a very skinny, lanky body and a huge head at the top of it. Despite its small body mass, Thinlax's torso sports rock hard six-pack abs and huge pecs that help intimidate its opponents. Its body fur is colored dark green for the outer parts and a dark yellowish color for the inner parts.There was a time that a young man had been walking around a jungle on a survival expedition for a variety show on a TV channel. While exploring, the young man had discovered a strange human-like figure in the distance, punching and kicking what seemed to be an old tree. The man then tried to call out to the figure, only to find himself running away after the mysterious creature came running at him. This was known to be the first time anyone has ever discovered Thinlax. Despite its lanky appearance, Thinlax is a Toshimon not to be scoffed at. It has an incredible amount of physical power that would make even the best martial artist look weak in comparison. It does have a very big setback, being that it has poor defenses due to the nature of its body, making it a very fragile Toshimon. If a person were to describe Thinlax in combat, it'd be classified as a ""glass cannon"".";68;7;0;60;120;50;50;62;88;[{'moveBase': {'fileID': 11400000, 'guid': '84b06bfba06e4a94995ff8c03215393d', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '668e604fbe71a0a498df424a11de821f', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '93f9b9cfb7e626e4c9b6539414292f21', 'type': 2}}]
Bufflax;57;3;0;2;Bufflax is a massive anthropomorphic Toshimon, unlike its predecessor Thinlax. What used to be its lanky and skinny limbs have now become large and firm muscles. The color scheme from its previous form remains the same however. The abs on its stomach have grown harder and the pectorals of its chest have become larger as well. Bufflax was found soon after people had discovered that Thinlax existed. Researchers decided to look into Thinlax's natural habitat in the forest hoping to find more of the Toshimon there to conduct studies. They ended up finding a huge amount of Thinlax in a forest clearing, gathered around a large, bizarre looking shape. When the unknown object, or should we say creature began to stand up, these people were shocked to see a muscular looking Thinlax that had been bigger than every other Thinlax that there was in that clearing. It was concluded that upon harsh physical and muscular training, Thinlax are able to evolve into what we now know as Bufflax. Just by looking at Bufflax, you can already tell that this Toshimon's prowess comes from its immense physical strength. Not only that, but unlike Thinlax, Bufflax is now capable of taking a hit (or multiple) from its opponents. Its arms are its main asset, being able to smash and swing at targets at a very high speed with Haymaker which makes fighting this Toshimon very scary.;274;7;0;75;140;90;60;90;95;[{'moveBase': {'fileID': 11400000, 'guid': '8bed956fa831df340b7ba8c815616535', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'bec78305a5dc83146925b1d19b87a8cc', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '034cef39039176441b8f7b2b8c2bc679', 'type': 2}}]
Flam;58;2;1;1;Flam is a quadrupedal feline covered with orange fur. It has a short muzzle with  tiny black nose, golden eyes, and short, pointed ears with striking yellow insides. There is a big yellow flame in between its legs, yellow whiskers, and a crystal-like emblem on its forehead. Its tail produces a yellow like flame. A mysterious forest is always on fire and once a traveler was brave enough to discover the mystery behind why, he found out that a wild raging tiger- cat is responsible for it. As time goes by, the tiger cat and the traveler grew in fond of each other as the traveler taught him how he can control its powers and use it for a good purpose. Flam is does not typically display emotions. While grooming, it collects fur inside its stomach. By setting the stored fur alight, it can spit fireballs that change based on how it coughs. Flam's fur produces flammable oils, and when it begins shedding, it burns all its fur in a blaze. Its fur coat regrows twice a year;153;2;0;80;90;96;82;87;85;[{'moveBase': {'fileID': 11400000, 'guid': 'a49068708bba6a9468898d9d49ae1afa', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'e9240acb6cafcb54ea8fe24666f2d9b4', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '5d6fe4a9634012942a2f08f5c8dfd4da', 'type': 2}}]
Flamoof;59;4;0;2;Flamoof is a bipedal, humanoid Toshimon with some fluffy feline features. Every little detail of Flamoof signifies its power of flame, highlighted using the color of soft and darker shades of pink. On its forehead is a flame like logo, on its neck is a scarf-like shaped in flame, its paws encircled with pink flame, and its tail screams of blazing hot fire.  According to the scientific logs found in the Mansion of Cinnabar Island. Flamoof was born from a pregnant feline, found deep in the jungles of Guyana, whose embryo had been tampered with to alter its DNA. In short, Flamoof is created by science and its creator was nowhere to be found. Do not be deceived of its soft, adorable features because behind its physique is a tenacious flame. Its feline muscles are augmented with psychic power, giving it a grip strength of one ton and the ability to sprint 100 meters in two seconds. It can stretch its fluffy flame-like tail that could produce fireballs.;298;2;13;115;110;90;100;90;95;[{'moveBase': {'fileID': 11400000, 'guid': '0f5d64b17add3b14ab37e685a201e0b2', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '7448008de1be28d47bc80fa854c82eb2', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '3c5d089033707d94f9ce1bdc60fd7b6a', 'type': 2}}]
Weal;60;1;1;1;Weal is an adorable seal shaped Toshimon that sports a light teal color scheme with a bright soft looking outer coat and a darker sleek underbelly. It has bear-like ears and lavender eyes along with a tiny horn that it uses for communicating with its fellow kind. Weal's fleece is known to act as an insulator for harsh weather conditions to keep it comfortable.Weal's first sighting happened during a trip to the Antarctic region by a group of researchers. These people had hoped to further look into the emergence of Toshimon in the world and wanted to see if any new species would be seen there. Low and behold, one of these researchers ended up finding themselves coming across this cute little creature, swimming in small icy pools of the region, playing with its kind. Weal is known to be incredibly friendly and mischievous, always playing pranks and games with its friend and trainers. Weal's power packs a punch especially when faced in its natural habitat, icy biomes. Its ice capabilities are multiplied in said locations as well, considering it's easy for it to channel cool air into its body for defense. Weals are also incredibly skilled at swimming, being able to go to at high speeds.;69;6;0;100;90;90;50;50;90;[{'moveBase': {'fileID': 11400000, 'guid': '893f32a870d982d438bb520ddb8e6d5b', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'd01a7e6752dd5044aa959b9d05e7c6de', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '5dd9258e25f8d404aae39dc0c8722ed0', 'type': 2}}]
Wealer;61;2;1;2;Wealer is a Toshimon with fins for arms and legs. It also has ice crystals protruding from its backs, despite these seemingly mobility reducing characteristics Wealer is surprisingly fast and agile especially in water and on slippery ice surfaces as it takes advantage of its fins to slip past any opponent. This Toshimon is covered in thick blubber that make it resistant to cold but also built with enough muscle to never tire from carrying many heavy crystals on its backs. Wealer is protective of its crystals that protrude on its back and fins, for Wealer's kind the crystals are a status, and the most pristine and finest ones are usually recognized as superior and held with respect. This nature of Wealer makes it a proud creature but this also puts this Toshimon at a disadvantage in battle because you can consider its crystals as its weak point. Wealer is a very strong attacker that can attack opponents with ice blasts from its mouth causing a Chill Breeze. This Toshimon have strong ice-manipulative abilities that allows it to create an Ice Shield as a way to defend itself. Wealer also have strong physically builds and as a mix of muscle and blubber, it can easily tackle down opponents.;154;6;0;110;100;100;60;60;90;[{'moveBase': {'fileID': 11400000, 'guid': '893f32a870d982d438bb520ddb8e6d5b', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'd01a7e6752dd5044aa959b9d05e7c6de', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '4d40773acb9e6d84d96699e35cdd8a85', 'type': 2}}]
Wealrus;62;3;0;3;Ice crystals protruding from back up to their tail which emanate with Ice-based enery. Tusks hardened with ice and as sharp as spears. Large fins that can easily overwhelm opponents, that is the large mass of muscle and blubber which are Wealrus. This Toshimon ice crystal is object of beauty, strength, and fear. Wealrus is a proud Toshimon, most especially because of its Ice crystals that it spends most of its time polishing and beautifying. Despite being beautiful objects of admiration, its crystals are not so easily destructible but are also a source of power for Wealrus. So think for a second before approaching a Wealrus from behind if you don't want to be frozen and turned into an ice crystal yourself. Wealrus is an extremely large creature and gather its ice powers from the crystals, besides being strong manipulators of ice, it can create instant Hails because of its innate ice powers. Its large size is also overwhelming and if a Wealrus catches up to an opponent, it is sure to be pinned down with almost no chance to put back themselves up.;275;6;7;120;110;110;70;70;90;[{'moveBase': {'fileID': 11400000, 'guid': '84b06bfba06e4a94995ff8c03215393d', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'e02b5d25e1c193543aced0d57a15d8c8', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'd01a7e6752dd5044aa959b9d05e7c6de', 'type': 2}}]
Flapp;63;1;1;1;Flapp is a bat like Toshimon. Flapp has a thick fur around its neck where he stores the data that it collects. Its wings and ears are wide as it is the source of gathering information towards other Toshimons. Its ears can pick up not just sonic waves, but also radio and electromagnetic waves which enable to detect and collect data from technological sources. While its wings are able to cause disruption on the waves around them that can cause a weak electromagnetic pulse. The Flapp was created as androids that is intelligent and sensitive to technological disturbances. This toshimon was designed able to pick up and decipher the immense amounts of electromagnetic waves in this technological age. Flapp's kind have decided to be an auto-updating device that have the latest information which are available in the Internet. Flapp has the ability to collect detailed information about other Toshimons. It collects data from the Dex Machine of trainers in battle to anticipate any moves of its opponents. Flapp is also digitally uploaded on the internet and when it senses danger, it immediately Reboot and teleport into another location. Flapp also launch powerful attacks which are pixelated, reanimated reality with its Packet Loss attack which uses data from the Internet.;70;11;0;50;60;60;105;85;90;[{'moveBase': {'fileID': 11400000, 'guid': '187d84749ba863d4e8576bd17f7d1a88', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'f6d51b9b854d06145ae042fa8a785ce4', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'cda8fea038d0e9441b7dc774a6061230', 'type': 2}}]
Splitch;64;2;1;2;Splitch is a Toshimon that still made of flesh despite looking like made of pixels. The physical characteristics of Splitch are predicted to have been adaptations it has taken from its data. It has two eyes that are at the far side of their heads and ears that can pick up any sort of EM wave. The wings also function as EM disruptors and block any technological device within 10m radius. After uploading themselves on the Internet, Splitch have the most updated data on the World Wide Web but this doesn't mean that all the data it produces are completely accurate. Splitch is also susceptible to information fallacy or Splitch commit the fallacy itself in attempts to trick the opponents and foes. This Toshimon is extremely agile creature that is powerful enough to disrupt EM waves. Splitch is a peculiar creature that combat using the data it has on the internet and produce it in the real world pixelated in a Packet Loss attack. Splitch protect itself with a literal Firewall that protects it from attacks and locks down any opponent that come in contact.;155;11;0;70;55;65;120;90;105;[{'moveBase': {'fileID': 11400000, 'guid': '187d84749ba863d4e8576bd17f7d1a88', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'e337f8050edbaa74f9e641160bc1a323', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'cda8fea038d0e9441b7dc774a6061230', 'type': 2}}]
Flyrus;65;3;0;3;Flyrus is a large, intimidating looking Toshimon with a relatively large body and wings with a dark indigo color. Its head is comprised of three computer-like screens and bat-like fangs for food consumption. Researchers discovered Flyrus during an expedition to an abandoned laboratory that had contained valuable information and data about Toshimon. During said expedition, these people had been looking around the area for any signs of power within the laboratory to extract the data from the old computers that were there. Unfortunately, they were met with a hostile threat that we now know as Flyrus. During this discovery, researchers attempted to call for back up through their devices, only to find them hacked and unusable with Flyrus around. These researchers were able to escape, without the data sadly. Flyrus' is an incredibly skilled Toshimon both in combat and in digital disruption. It can use its digital capabilities to pass through networks and computers, eating away any valuable data and rendering these devices useless. To protect itself from harm, it uses a firewall to allow it to bypass and escape from any security threats within the system. In physical combat, Flyrus is no joke either. The wings on its back allow it to maneuver the air well and move quickly, while its fangs are useful for attacking and biting any opponent.;276;11;12;75;55;75;135;110;120;[{'moveBase': {'fileID': 11400000, 'guid': '187d84749ba863d4e8576bd17f7d1a88', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': 'e337f8050edbaa74f9e641160bc1a323', 'type': 2}}, {'moveBase': {'fileID': 11400000, 'guid': '102251a9109c81d44b1dc5634fb56fb4', 'type': 2}}]
